SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--threads` = '50'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
400000	52428800	4460.42
600000	52428800	4943.28
800000	52428800	4230.73
400000	10485760	6586.3
10	104857600	1845.59
400000	104857600	3060.92
200000	10485760	6015.11
40000	104857600	1800.14
800000	104857600	3742.27
1000000	20971520	5164.68
1000000	104857600	3715.26
40000	20971520	2760.05
200000	52428800	3363.91
600000	5242880	6807.31
40000	10485760	3715.18
1000000	10485760	5739.45
400000	20971520	5868.93
10	5242880	1876.35
40000	52428800	2088.58
200000	5242880	6236.8
600000	104857600	4145.78
600000	20971520	5989.08
800000	20971520	5670.64
600000	10485760	5355.35
1000000	52428800	4822.66
400000	5242880	6615.96
1000000	5242880	6158.84
10	52428800	1848.57
10	10485760	1897.28
800000	5242880	6249.48
40000	5242880	4528.6
800000	10485760	5329.63
200000	20971520	5634.96
10	20971520	1891.44
200000	104857600	2099.58
