SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--threads` = '1'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
400000	10485760	115.46
200000	20971520	82.66
400000	5242880	130.13
600000	5242880	148.96
400000	52428800	78.33
40000	52428800	42.93
200000	5242880	102.38
40000	10485760	54.39
800000	10485760	145.44
200000	104857600	48.02
600000	104857600	73.82
1000000	52428800	111.23
10	104857600	36.28
10	10485760	35.6
1000000	10485760	149.55
800000	104857600	87.39
1000000	5242880	165.99
200000	10485760	88.6
200000	52428800	58.63
40000	20971520	49.77
600000	20971520	122.79
600000	10485760	130.96
10	52428800	35.7
400000	104857600	61.06
1000000	104857600	94.73
800000	20971520	134.86
10	20971520	35.68
800000	5242880	159.2
40000	104857600	40.71
400000	20971520	104.56
800000	52428800	103.59
10	5242880	36.3
1000000	20971520	141.49
600000	52428800	92.12
40000	5242880	57.35
