SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--threads` = '50'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
800000	104857600	3657.0
800000	52428800	4448.01
200000	20971520	5465.85
1000000	52428800	4340.11
10	5242880	1803.48
800000	20971520	5484.93
800000	10485760	6064.04
400000	10485760	6679.88
200000	52428800	3327.39
40000	20971520	2947.09
200000	10485760	5876.81
400000	20971520	6097.52
1000000	20971520	5345.08
800000	5242880	7065.52
1000000	104857600	3739.0
400000	104857600	3208.44
600000	20971520	5160.83
40000	104857600	1779.31
1000000	5242880	5384.95
200000	104857600	2162.98
10	52428800	1781.42
600000	52428800	5052.83
600000	10485760	5265.69
400000	5242880	6621.74
10	20971520	1858.07
10	10485760	1820.81
400000	52428800	4713.58
600000	104857600	3684.25
200000	5242880	6497.8
1000000	10485760	4906.95
600000	5242880	5787.95
40000	10485760	3750.9
10	104857600	1816.77
40000	52428800	2077.46
40000	5242880	4340.98
