SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--threads` = '1'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
40000	20971520	50.94
600000	104857600	74.78
800000	10485760	139.45
800000	5242880	158.78
400000	10485760	115.6
40000	52428800	42.25
400000	104857600	60.04
1000000	52428800	110.99
40000	5242880	58.17
200000	52428800	57.93
200000	10485760	89.13
800000	104857600	85.58
600000	20971520	122.28
600000	5242880	146.42
1000000	10485760	148.53
400000	52428800	78.25
1000000	5242880	167.23
600000	10485760	129.15
800000	20971520	134.19
400000	20971520	104.36
200000	20971520	81.1
40000	104857600	40.0
200000	104857600	47.49
800000	52428800	103.2
400000	5242880	132.49
1000000	104857600	95.47
10	10485760	35.44
200000	5242880	100.48
10	104857600	35.52
10	5242880	36.08
10	52428800	35.56
10	20971520	36.29
40000	10485760	55.2
600000	52428800	92.92
1000000	20971520	142.43
