SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--threads` = '100'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
200000	10485760	8120.21
1000000	10485760	9357.58
200000	5242880	7216.33
40000	10485760	6503.5
1000000	20971520	9293.51
40000	5242880	6236.41
1000000	52428800	8199.44
600000	5242880	10097.93
1000000	5242880	10378.09
10	10485760	4896.79
400000	5242880	9162.23
800000	5242880	9164.07
800000	10485760	9090.12
600000	104857600	5540.84
10	20971520	4847.01
10	104857600	5143.28
40000	104857600	5375.95
800000	104857600	8672.52
800000	20971520	8971.32
10	52428800	5030.62
800000	52428800	8238.28
400000	52428800	7371.09
200000	52428800	6159.87
600000	10485760	9550.55
400000	20971520	7807.24
200000	20971520	7221.74
600000	20971520	8542.65
400000	104857600	6155.92
200000	104857600	5814.26
10	5242880	4901.2
40000	20971520	6619.42
40000	52428800	5907.72
400000	10485760	8907.69
1000000	104857600	6912.09
600000	52428800	6723.78
