SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--threads` = '100'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1000000	10485760	230.35
600000	104857600	85.86
400000	20971520	105.77
1000000	5242880	292.51
800000	104857600	97.47
40000	5242880	116.04
600000	10485760	183.36
40000	52428800	50.66
10	5242880	209.96
200000	5242880	165.41
600000	5242880	220.58
600000	20971520	135.2
200000	20971520	85.71
40000	20971520	70.69
10	10485760	192.55
1000000	52428800	131.92
200000	104857600	62.29
1000000	20971520	177.65
400000	5242880	197.82
40000	10485760	90.13
200000	52428800	69.56
600000	52428800	97.96
40000	104857600	45.27
10	20971520	194.86
200000	10485760	123.77
10	52428800	191.0
400000	104857600	73.05
800000	52428800	114.48
800000	20971520	152.66
10	104857600	186.9
800000	10485760	209.14
400000	10485760	157.24
800000	5242880	267.91
1000000	104857600	109.05
400000	52428800	84.33
