SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--threads` = '50'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
800000	104857600	49.95
600000	52428800	50.15
40000	52428800	24.81
400000	5242880	86.75
400000	104857600	36.45
1000000	52428800	64.53
600000	20971520	63.54
200000	52428800	34.95
40000	5242880	50.17
1000000	5242880	111.74
800000	5242880	108.12
600000	10485760	83.57
10	10485760	54.43
600000	104857600	44.2
40000	10485760	41.27
1000000	104857600	53.75
10	52428800	53.24
800000	10485760	93.94
400000	52428800	42.13
40000	20971520	33.04
40000	104857600	22.49
1000000	10485760	96.31
200000	10485760	56.42
200000	104857600	28.62
600000	5242880	99.48
200000	20971520	41.25
10	20971520	53.97
1000000	20971520	79.44
200000	5242880	70.98
800000	52428800	59.02
10	104857600	52.77
800000	20971520	72.09
400000	10485760	71.58
400000	20971520	51.33
10	5242880	57.57
