SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--threads` = '100'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
400000	10485760	153.8
40000	52428800	49.28
1000000	52428800	127.3
10	20971520	190.93
200000	20971520	86.06
600000	52428800	99.51
10	104857600	190.18
1000000	10485760	231.03
600000	10485760	198.83
600000	20971520	131.71
800000	5242880	266.19
600000	104857600	88.6
1000000	20971520	176.01
10	52428800	188.59
200000	5242880	163.6
800000	20971520	153.82
800000	104857600	99.48
200000	104857600	61.7
800000	52428800	114.02
40000	20971520	68.3
1000000	5242880	305.59
200000	52428800	66.51
600000	5242880	237.92
400000	5242880	193.09
10	10485760	194.04
200000	10485760	124.59
10	5242880	207.15
400000	52428800	82.54
40000	5242880	116.79
1000000	104857600	113.8
400000	104857600	70.46
40000	104857600	44.06
400000	20971520	105.37
40000	10485760	88.16
800000	10485760	215.91
