SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--threads` = '1'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
200000	52428800	2.25
10	5242880	1.41
40000	52428800	1.87
600000	10485760	3.69
800000	20971520	3.42
600000	5242880	3.76
400000	52428800	2.55
200000	104857600	2.04
800000	10485760	3.73
10	10485760	1.4
1000000	104857600	2.7
600000	20971520	3.3
800000	52428800	2.87
600000	104857600	2.46
1000000	5242880	3.86
800000	5242880	3.8
800000	104857600	2.57
200000	20971520	2.9
1000000	20971520	3.46
10	20971520	1.38
200000	10485760	3.37
40000	10485760	2.65
10	104857600	1.37
40000	5242880	2.84
1000000	10485760	3.85
10	52428800	1.38
400000	10485760	3.61
400000	20971520	3.25
40000	104857600	1.87
1000000	52428800	2.97
400000	5242880	3.62
400000	104857600	2.27
600000	52428800	2.75
200000	5242880	3.53
40000	20971520	2.24
