SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--threads` = '50'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
10	5242880	56.03
10	20971520	54.06
600000	104857600	42.65
400000	10485760	72.78
10	52428800	53.86
200000	5242880	74.86
200000	104857600	29.16
400000	5242880	86.65
40000	10485760	42.03
400000	104857600	36.23
10	104857600	52.89
1000000	104857600	53.37
10	10485760	54.54
600000	52428800	53.25
40000	20971520	32.84
1000000	20971520	79.25
40000	104857600	22.43
1000000	5242880	113.86
600000	10485760	83.26
800000	20971520	73.43
200000	20971520	41.35
1000000	52428800	61.71
400000	52428800	41.42
1000000	10485760	97.11
200000	52428800	34.46
200000	10485760	59.03
40000	52428800	24.38
400000	20971520	53.16
600000	20971520	64.41
800000	5242880	107.28
800000	10485760	89.74
600000	5242880	101.67
800000	52428800	54.67
800000	104857600	49.71
40000	5242880	49.4
