SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--threads` = '100'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
200000	5242880	164.47
800000	5242880	293.05
400000	20971520	107.38
800000	20971520	153.36
40000	10485760	89.87
400000	52428800	82.18
600000	20971520	129.16
400000	104857600	73.52
10	52428800	192.11
800000	10485760	213.9
600000	10485760	181.55
10	20971520	192.41
800000	104857600	101.97
1000000	5242880	285.39
200000	10485760	121.53
400000	10485760	153.23
40000	5242880	115.4
10	5242880	212.22
800000	52428800	119.92
600000	5242880	258.86
1000000	104857600	110.91
1000000	20971520	177.64
200000	52428800	68.4
10	104857600	191.26
1000000	52428800	125.31
1000000	10485760	222.15
600000	104857600	86.49
200000	20971520	83.75
40000	52428800	49.78
200000	104857600	61.54
10	10485760	194.87
40000	20971520	68.16
40000	104857600	43.52
400000	5242880	197.91
600000	52428800	97.95
