SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--threads` = '100'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
800000	5242880	281.23
600000	20971520	142.78
400000	5242880	197.39
800000	52428800	124.11
200000	20971520	82.92
10	10485760	193.83
400000	10485760	155.62
200000	52428800	68.24
1000000	20971520	170.21
10	20971520	193.03
10	5242880	214.48
400000	20971520	107.77
40000	5242880	120.32
40000	104857600	43.96
10	104857600	189.37
10	52428800	189.0
800000	20971520	160.62
200000	104857600	60.29
1000000	5242880	300.45
200000	10485760	122.06
40000	52428800	50.31
800000	104857600	98.22
600000	52428800	95.98
400000	104857600	72.81
600000	104857600	87.29
800000	10485760	218.46
40000	10485760	88.16
600000	10485760	194.2
40000	20971520	73.36
400000	52428800	81.7
200000	5242880	160.89
600000	5242880	231.8
1000000	10485760	226.01
1000000	104857600	111.16
1000000	52428800	128.58
