SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--threads` = '50'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
40000	20971520	33.77
10	52428800	53.05
200000	20971520	39.96
10	104857600	54.71
600000	104857600	44.83
800000	10485760	93.3
10	5242880	57.4
400000	104857600	35.48
200000	104857600	29.84
40000	52428800	24.6
1000000	10485760	99.56
600000	52428800	50.31
800000	104857600	49.86
200000	52428800	35.41
600000	10485760	84.06
40000	5242880	50.37
200000	5242880	71.53
800000	5242880	109.73
10	10485760	54.61
1000000	104857600	55.73
400000	10485760	73.62
800000	52428800	56.17
40000	104857600	22.56
600000	5242880	97.72
400000	52428800	41.9
400000	20971520	53.21
40000	10485760	41.02
600000	20971520	63.97
1000000	5242880	115.29
400000	5242880	82.44
1000000	52428800	63.29
1000000	20971520	76.28
200000	10485760	59.73
10	20971520	55.06
800000	20971520	72.41
