SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--threads` = '1'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
40000	52428800	1.87
40000	104857600	1.82
800000	10485760	3.74
400000	5242880	3.65
10	104857600	1.38
800000	5242880	3.79
400000	20971520	3.19
40000	20971520	2.26
800000	20971520	3.37
10	52428800	1.44
10	5242880	1.41
1000000	52428800	2.95
600000	104857600	2.47
200000	10485760	3.34
200000	104857600	2.0
1000000	104857600	2.66
10	20971520	1.39
200000	52428800	2.26
40000	5242880	2.88
400000	10485760	3.59
800000	104857600	2.57
600000	10485760	3.69
600000	20971520	3.3
400000	104857600	2.28
600000	5242880	3.76
200000	5242880	3.46
40000	10485760	2.7
600000	52428800	2.81
1000000	20971520	3.57
400000	52428800	2.57
800000	52428800	2.9
200000	20971520	2.88
1000000	5242880	3.9
10	10485760	1.39
1000000	10485760	3.88
