SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--threads` = '1'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
40000	52428800	1.85
10	104857600	1.38
1000000	5242880	3.92
10	10485760	1.4
40000	104857600	1.83
10	52428800	1.37
800000	104857600	2.57
800000	10485760	3.74
1000000	10485760	3.83
400000	104857600	2.25
600000	5242880	3.78
40000	5242880	2.83
200000	5242880	3.43
10	5242880	1.41
800000	52428800	2.92
10	20971520	1.38
200000	10485760	3.33
400000	5242880	3.63
800000	20971520	3.36
400000	52428800	2.6
40000	20971520	2.21
600000	52428800	2.77
600000	10485760	3.71
400000	10485760	3.58
1000000	104857600	2.64
600000	104857600	2.47
200000	104857600	2.01
1000000	20971520	3.47
40000	10485760	2.67
600000	20971520	3.28
400000	20971520	3.16
200000	52428800	2.24
800000	5242880	3.79
200000	20971520	2.87
1000000	52428800	2.95
