SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--threads` = '50'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
800000	20971520	72.58
400000	5242880	86.54
200000	104857600	29.49
10	5242880	56.59
400000	104857600	36.66
1000000	5242880	114.11
1000000	20971520	79.81
200000	52428800	34.75
10	10485760	53.61
10	104857600	53.34
40000	5242880	50.28
1000000	10485760	100.27
800000	104857600	49.08
10	20971520	55.43
10	52428800	54.17
400000	52428800	43.01
600000	20971520	63.86
600000	52428800	50.13
40000	10485760	41.89
800000	5242880	108.86
200000	5242880	70.51
200000	10485760	56.47
800000	10485760	93.58
40000	20971520	33.49
600000	5242880	98.49
40000	52428800	24.84
1000000	104857600	57.58
1000000	52428800	60.88
600000	10485760	82.0
40000	104857600	22.11
400000	10485760	71.33
400000	20971520	51.72
600000	104857600	43.46
200000	20971520	41.72
800000	52428800	54.21
