SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--threads` = '100'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1000000	10485760	235.79
10	52428800	195.23
600000	20971520	133.51
200000	5242880	162.22
600000	10485760	193.12
10	5242880	211.03
400000	5242880	196.19
40000	20971520	68.61
400000	104857600	74.03
400000	10485760	155.89
600000	104857600	87.63
800000	20971520	154.6
800000	104857600	100.21
200000	20971520	85.86
200000	104857600	62.73
1000000	20971520	182.31
600000	5242880	238.84
40000	52428800	50.79
400000	20971520	104.65
800000	52428800	113.57
200000	10485760	124.29
800000	10485760	215.46
40000	5242880	115.66
600000	52428800	95.64
1000000	104857600	112.69
10	20971520	193.03
800000	5242880	287.8
10	10485760	190.12
1000000	5242880	312.41
400000	52428800	79.78
40000	104857600	43.59
40000	10485760	90.18
200000	52428800	67.29
10	104857600	190.97
1000000	52428800	131.12
