SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--threads` = '50'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1000000	5242880	117.6
40000	104857600	22.35
200000	104857600	29.57
800000	20971520	71.74
800000	5242880	108.69
400000	10485760	71.77
40000	52428800	24.22
200000	20971520	41.95
600000	5242880	97.51
600000	10485760	83.9
200000	52428800	34.97
1000000	52428800	63.2
1000000	20971520	76.39
10	10485760	54.9
10	5242880	56.87
200000	10485760	56.89
1000000	104857600	55.77
1000000	10485760	95.27
400000	20971520	51.05
800000	52428800	54.19
400000	5242880	84.91
400000	52428800	41.8
600000	52428800	54.25
600000	104857600	44.34
600000	20971520	65.1
400000	104857600	36.1
10	104857600	53.69
40000	10485760	41.42
800000	104857600	50.2
10	20971520	55.33
800000	10485760	92.58
200000	5242880	71.74
40000	5242880	49.99
10	52428800	53.48
40000	20971520	33.27
