SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--threads` = '1'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
200000	5242880	3.45
40000	52428800	1.88
1000000	52428800	2.96
10	52428800	1.38
600000	20971520	3.36
1000000	104857600	2.72
40000	104857600	1.82
800000	52428800	2.9
10	5242880	1.42
800000	5242880	3.78
1000000	10485760	3.9
200000	20971520	2.91
10	20971520	1.39
1000000	20971520	3.46
200000	52428800	2.24
800000	20971520	3.38
600000	10485760	3.69
40000	10485760	2.67
400000	52428800	2.58
600000	104857600	2.44
600000	5242880	3.72
40000	5242880	2.83
10	10485760	1.39
1000000	5242880	3.88
400000	104857600	2.3
40000	20971520	2.28
800000	104857600	2.57
400000	20971520	3.18
10	104857600	1.38
400000	5242880	3.68
200000	104857600	2.02
400000	10485760	3.63
800000	10485760	3.77
600000	52428800	2.76
200000	10485760	3.4
