SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--threads` = '50'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
600000	20971520	61.89
40000	20971520	32.35
400000	104857600	36.04
400000	20971520	53.78
40000	5242880	50.33
200000	5242880	74.78
10	20971520	54.84
200000	20971520	42.6
10	10485760	54.72
10	104857600	53.47
1000000	104857600	56.45
800000	104857600	51.17
40000	10485760	42.23
40000	104857600	22.44
1000000	10485760	98.05
1000000	20971520	81.1
600000	10485760	82.6
800000	20971520	72.51
200000	52428800	34.57
200000	10485760	55.63
400000	52428800	42.53
10	5242880	56.37
800000	5242880	106.42
400000	5242880	83.54
800000	10485760	91.99
40000	52428800	24.7
600000	52428800	49.83
200000	104857600	29.39
600000	5242880	96.02
800000	52428800	53.73
400000	10485760	72.02
600000	104857600	42.33
10	52428800	54.08
1000000	5242880	113.45
1000000	52428800	64.24
