SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--threads` = '1'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
400000	104857600	2.28
600000	10485760	3.7
800000	20971520	3.39
200000	20971520	2.87
200000	10485760	3.36
10	104857600	1.38
800000	104857600	2.56
10	20971520	1.38
1000000	5242880	3.85
200000	5242880	3.42
400000	52428800	2.61
800000	52428800	2.86
10	10485760	1.4
600000	20971520	3.29
1000000	10485760	3.84
40000	52428800	1.85
400000	5242880	3.68
1000000	52428800	2.98
10	52428800	1.37
400000	20971520	3.17
1000000	104857600	2.71
10	5242880	1.43
40000	104857600	1.82
600000	104857600	2.46
600000	52428800	2.76
600000	5242880	3.76
800000	10485760	3.77
200000	52428800	2.26
40000	10485760	2.67
40000	5242880	2.82
200000	104857600	2.0
400000	10485760	3.59
800000	5242880	3.71
1000000	20971520	3.52
40000	20971520	2.22
