SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--threads` = '100'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
40000	104857600	2660.59
600000	20971520	4462.4
200000	20971520	6154.35
1000000	10485760	4646.13
200000	52428800	4173.99
1000000	52428800	3489.04
400000	52428800	3833.11
10	5242880	2548.93
800000	5242880	5258.89
1000000	20971520	3887.47
40000	10485760	5987.51
400000	20971520	5200.52
400000	104857600	2961.16
40000	52428800	2903.81
10	20971520	2599.63
400000	10485760	6042.89
10	104857600	2567.19
800000	104857600	2972.23
600000	104857600	2958.63
400000	5242880	6134.85
40000	5242880	6040.17
200000	104857600	2336.86
1000000	5242880	4849.41
1000000	104857600	2693.21
10	52428800	2579.46
800000	20971520	4459.07
200000	5242880	7149.89
10	10485760	2494.37
200000	10485760	6490.03
800000	10485760	5308.25
800000	52428800	3297.83
600000	52428800	3479.97
40000	20971520	4806.81
600000	5242880	5449.91
600000	10485760	4922.27
