SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--threads` = '1'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
400000	20971520	57.67
400000	52428800	42.28
600000	5242880	76.7
400000	5242880	69.31
200000	10485760	49.34
400000	104857600	31.87
10	104857600	18.32
10	10485760	18.62
600000	104857600	39.4
40000	52428800	21.77
40000	5242880	32.79
40000	10485760	30.32
1000000	20971520	72.01
800000	20971520	70.23
800000	5242880	81.73
10	52428800	17.85
1000000	10485760	74.52
800000	52428800	55.49
800000	104857600	45.17
1000000	104857600	50.14
200000	104857600	24.43
40000	104857600	20.98
600000	10485760	67.63
1000000	52428800	59.82
600000	20971520	64.02
1000000	5242880	85.67
200000	5242880	54.19
40000	20971520	26.82
400000	10485760	62.5
10	5242880	18.31
600000	52428800	49.67
200000	20971520	45.47
800000	10485760	73.26
200000	52428800	30.88
10	20971520	18.41
