SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--threads` = '1'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
800000	104857600	44.9
200000	52428800	30.88
200000	5242880	54.13
600000	20971520	64.66
40000	52428800	21.71
10	5242880	18.45
800000	52428800	55.86
800000	5242880	81.79
10	104857600	18.21
40000	20971520	27.1
10	20971520	18.45
200000	10485760	49.07
10	10485760	18.56
40000	104857600	21.24
1000000	5242880	85.94
400000	52428800	41.87
200000	20971520	45.67
40000	5242880	33.42
400000	10485760	61.95
400000	5242880	67.59
40000	10485760	30.79
600000	52428800	49.02
1000000	20971520	73.09
1000000	52428800	59.28
600000	5242880	75.62
200000	104857600	24.13
10	52428800	18.52
800000	10485760	73.0
400000	20971520	57.16
600000	10485760	67.87
800000	20971520	67.84
400000	104857600	31.58
600000	104857600	39.3
1000000	10485760	75.75
1000000	104857600	49.5
