SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--threads` = '100'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
800000	5242880	5456.83
600000	20971520	4551.8
400000	52428800	3490.54
10	5242880	2536.94
400000	104857600	2894.84
200000	52428800	3740.09
400000	5242880	6453.9
800000	10485760	4694.14
1000000	10485760	4693.81
40000	52428800	3331.39
40000	104857600	2691.2
200000	104857600	2340.54
200000	5242880	6986.03
1000000	5242880	5236.4
200000	10485760	6405.59
600000	10485760	5295.07
800000	52428800	3304.51
40000	5242880	5907.3
1000000	20971520	3692.85
800000	104857600	2734.69
600000	5242880	6139.61
400000	10485760	5747.09
40000	20971520	4586.07
600000	52428800	4002.45
40000	10485760	6176.52
1000000	52428800	3536.11
200000	20971520	5762.23
800000	20971520	4614.0
400000	20971520	4928.07
10	104857600	2526.04
10	52428800	2498.23
1000000	104857600	2714.31
10	20971520	2547.59
10	10485760	2528.83
600000	104857600	3142.09
