SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--threads` = '100'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
40000	104857600	2777.79
200000	20971520	5829.2
800000	104857600	2959.54
600000	10485760	4700.61
400000	104857600	2827.04
1000000	104857600	3055.27
40000	10485760	5808.76
10	52428800	2429.92
1000000	52428800	3692.45
800000	52428800	2793.15
200000	104857600	2245.14
10	104857600	2617.56
800000	20971520	4487.28
10	5242880	2603.83
600000	104857600	3037.38
600000	52428800	3533.53
400000	20971520	5111.04
1000000	20971520	3950.16
40000	5242880	6161.37
40000	52428800	2964.97
400000	5242880	6275.97
200000	52428800	3770.27
200000	10485760	6157.03
600000	5242880	5927.24
200000	5242880	6158.73
400000	52428800	3993.38
400000	10485760	6000.21
600000	20971520	4721.09
40000	20971520	4689.09
10	10485760	2578.87
1000000	10485760	4370.54
10	20971520	2587.64
800000	10485760	5028.76
1000000	5242880	5244.6
800000	5242880	4882.2
