SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--threads` = '50'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
10	52428800	839.39
40000	52428800	1005.18
600000	52428800	1406.29
600000	5242880	2130.41
800000	20971520	1683.69
40000	5242880	2770.5
1000000	20971520	1597.81
40000	104857600	859.69
800000	104857600	1186.95
200000	20971520	2374.62
800000	10485760	1986.92
400000	5242880	2377.07
1000000	10485760	2084.62
200000	52428800	1309.71
400000	20971520	2245.9
1000000	52428800	1212.06
1000000	104857600	1157.47
400000	52428800	1486.19
400000	104857600	1002.68
200000	104857600	721.16
10	10485760	889.02
400000	10485760	2169.33
10	20971520	893.7
40000	20971520	1613.41
1000000	5242880	2374.59
600000	20971520	2045.18
800000	5242880	2244.95
600000	104857600	1113.32
200000	5242880	2769.11
800000	52428800	1551.53
40000	10485760	2310.48
10	5242880	894.11
10	104857600	864.93
200000	10485760	2669.43
600000	10485760	1953.67
