SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--threads` = '100'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
800000	10485760	4632.1
1000000	10485760	4772.46
1000000	104857600	2942.38
800000	5242880	4983.28
400000	10485760	5809.78
400000	20971520	4820.3
40000	5242880	5719.82
40000	52428800	3068.64
600000	5242880	5655.73
10	5242880	2533.33
10	20971520	2691.5
200000	52428800	4139.05
40000	10485760	6065.92
1000000	52428800	3685.24
400000	104857600	2709.4
1000000	5242880	4935.06
800000	52428800	3540.06
400000	52428800	3894.89
1000000	20971520	3786.56
10	10485760	2535.59
10	52428800	2579.33
10	104857600	2602.63
800000	20971520	4787.61
400000	5242880	5600.81
200000	104857600	2247.87
200000	10485760	6154.4
600000	20971520	4708.6
200000	20971520	5817.73
800000	104857600	2800.4
40000	104857600	2742.38
600000	10485760	4675.27
200000	5242880	6000.14
600000	104857600	3000.66
40000	20971520	4615.52
600000	52428800	3237.4
