SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--threads` = '50'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
10	5242880	897.77
800000	52428800	1549.58
400000	52428800	1627.87
600000	10485760	2102.85
400000	104857600	1041.68
1000000	104857600	1296.87
1000000	5242880	2381.69
200000	104857600	719.51
10	104857600	863.99
1000000	10485760	1887.97
800000	5242880	2505.32
200000	5242880	2884.78
10	10485760	891.83
200000	10485760	2765.77
400000	10485760	2203.07
600000	5242880	2429.0
10	20971520	906.33
600000	104857600	1175.36
800000	10485760	2160.53
200000	20971520	2248.75
600000	52428800	1626.78
400000	5242880	2560.7
1000000	52428800	1745.24
200000	52428800	1455.19
40000	52428800	978.75
40000	104857600	848.9
40000	5242880	2547.07
800000	20971520	1683.58
400000	20971520	2065.74
40000	10485760	2055.61
600000	20971520	1948.49
1000000	20971520	1951.59
40000	20971520	1619.25
10	52428800	862.64
800000	104857600	1294.6
