SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--threads` = '50'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
400000	52428800	1497.56
10	5242880	1005.5
400000	104857600	1050.75
40000	5242880	2754.42
10	20971520	888.3
800000	5242880	2748.4
40000	104857600	814.02
800000	104857600	1007.07
40000	52428800	993.05
40000	10485760	2122.42
1000000	10485760	1657.34
1000000	52428800	1473.42
200000	52428800	1383.92
200000	10485760	2855.77
400000	20971520	2186.82
600000	20971520	1817.56
600000	104857600	1200.49
1000000	5242880	2224.58
800000	52428800	1424.95
600000	5242880	2270.91
200000	20971520	2257.88
10	52428800	897.52
600000	52428800	1713.1
200000	104857600	724.63
200000	5242880	2789.63
10	104857600	876.98
800000	10485760	2106.8
600000	10485760	1842.46
400000	10485760	2495.66
400000	5242880	2360.41
10	10485760	854.9
40000	20971520	1567.0
1000000	104857600	1326.48
1000000	20971520	1868.5
800000	20971520	1806.89
