SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--threads` = '1'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
10	5242880	18.03
40000	104857600	21.08
200000	20971520	45.96
600000	10485760	65.73
800000	104857600	45.55
10	20971520	18.35
400000	20971520	56.22
1000000	104857600	49.94
1000000	10485760	76.56
600000	104857600	39.5
10	52428800	18.18
10	104857600	18.05
200000	52428800	30.55
600000	52428800	48.77
200000	104857600	24.34
800000	5242880	82.07
40000	20971520	26.84
800000	20971520	69.62
600000	20971520	62.99
40000	10485760	30.7
40000	5242880	33.38
10	10485760	18.71
1000000	20971520	74.09
600000	5242880	75.94
800000	52428800	54.35
800000	10485760	71.54
1000000	52428800	59.35
400000	5242880	68.89
400000	10485760	61.8
40000	52428800	21.3
200000	10485760	49.09
400000	104857600	31.66
1000000	5242880	87.77
400000	52428800	42.18
200000	5242880	54.6
