SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--threads` = '1'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
600000	52428800	48.39
1000000	104857600	49.74
800000	20971520	69.45
400000	5242880	67.28
800000	104857600	44.7
40000	52428800	21.83
400000	10485760	62.01
200000	5242880	54.13
600000	104857600	38.82
1000000	52428800	58.51
800000	52428800	55.49
40000	10485760	30.66
200000	20971520	45.13
1000000	5242880	86.1
200000	104857600	24.66
10	10485760	18.25
600000	20971520	64.2
1000000	20971520	73.21
600000	5242880	77.23
40000	5242880	32.59
1000000	10485760	72.83
10	104857600	18.6
40000	20971520	26.55
200000	52428800	31.4
10	52428800	18.42
400000	104857600	32.12
10	5242880	18.14
40000	104857600	21.07
10	20971520	18.2
800000	10485760	71.62
800000	5242880	82.0
400000	20971520	56.83
600000	10485760	67.84
200000	10485760	48.68
400000	52428800	42.24
