SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--threads` = '1'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
400000	5242880	69.08
200000	5242880	54.15
40000	5242880	32.9
10	104857600	18.28
1000000	10485760	73.54
800000	10485760	70.92
400000	52428800	42.19
400000	20971520	57.29
10	20971520	18.65
200000	10485760	49.06
800000	52428800	55.28
1000000	20971520	73.13
40000	20971520	26.82
600000	20971520	63.38
200000	104857600	24.48
10	10485760	18.11
200000	20971520	45.18
10	5242880	18.21
1000000	104857600	49.75
400000	104857600	31.61
1000000	52428800	59.29
800000	20971520	68.69
600000	5242880	76.81
800000	5242880	83.74
400000	10485760	60.62
600000	10485760	66.95
600000	52428800	49.6
1000000	5242880	86.54
200000	52428800	30.63
40000	10485760	30.03
600000	104857600	39.07
10	52428800	18.31
40000	52428800	21.94
40000	104857600	21.24
800000	104857600	44.92
