SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--threads` = '1'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
600000	52428800	49.63
40000	52428800	21.77
200000	5242880	54.58
200000	52428800	30.45
40000	10485760	30.9
1000000	20971520	72.34
800000	5242880	82.47
40000	104857600	20.99
1000000	5242880	85.85
800000	104857600	44.87
800000	10485760	73.15
400000	5242880	68.51
1000000	10485760	73.78
400000	52428800	42.29
400000	20971520	56.81
40000	20971520	26.91
400000	10485760	61.25
600000	20971520	63.9
600000	10485760	67.63
200000	10485760	49.67
10	10485760	18.41
400000	104857600	31.31
10	52428800	18.37
200000	20971520	45.02
600000	5242880	77.11
10	104857600	17.93
1000000	104857600	51.14
800000	52428800	55.91
800000	20971520	69.58
10	20971520	18.31
200000	104857600	24.8
10	5242880	18.45
600000	104857600	39.26
40000	5242880	33.03
1000000	52428800	59.38
