SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--threads` = '100'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
40000	104857600	2587.98
1000000	20971520	4143.26
40000	5242880	5926.39
400000	52428800	3939.17
600000	5242880	5141.19
10	20971520	2538.13
1000000	5242880	5195.59
400000	10485760	5622.9
200000	52428800	4137.65
600000	10485760	4424.52
10	104857600	2442.63
800000	10485760	4223.07
800000	52428800	3417.87
200000	104857600	2310.9
200000	5242880	5664.02
40000	20971520	4782.79
200000	10485760	6517.49
400000	5242880	5622.43
1000000	104857600	3051.53
40000	52428800	3139.31
600000	104857600	2835.59
10	52428800	2593.53
10	10485760	2446.85
400000	20971520	5116.0
800000	5242880	4977.42
1000000	10485760	4452.66
600000	20971520	4306.3
200000	20971520	5873.7
1000000	52428800	3462.77
600000	52428800	3953.14
400000	104857600	3013.92
40000	10485760	6137.74
800000	104857600	2818.79
10	5242880	2520.22
800000	20971520	3631.64
